Epochs	Avg_Trainning_Loss	Val_Dice_coefficient	
1.000000	0.425705	0.700184	
2.000000	0.332505	0.700651	
3.000000	0.314465	0.749652	
4.000000	0.286479	0.743730	
5.000000	0.262987	0.722607	
6.000000	0.248883	0.795699	
7.000000	0.226705	0.813963	
8.000000	0.224767	0.767358	
9.000000	0.214760	0.768042	
10.000000	0.225315	0.790569	
11.000000	0.210433	0.794254	
12.000000	0.204216	0.756178	
13.000000	0.206707	0.793578	
14.000000	0.188094	0.783195	
15.000000	0.197176	0.787237	
16.000000	0.188757	0.808061	
17.000000	0.182959	0.790955	
18.000000	0.176944	0.797097	
19.000000	0.178781	0.825019	
20.000000	0.177429	0.814441	
21.000000	0.169948	0.773881	
22.000000	0.163774	0.742522	
23.000000	0.159496	0.815807	
24.000000	0.178741	0.815053	
25.000000	0.164806	0.774175	
26.000000	0.164765	0.781287	
27.000000	0.162655	0.798905	
28.000000	0.156402	0.798427	
29.000000	0.159089	0.769910	
30.000000	0.147128	0.767231	
31.000000	0.158791	0.712228	
32.000000	0.158912	0.785691	
33.000000	0.145555	0.772650	
34.000000	0.149820	0.804762	
35.000000	0.146346	0.817932	
36.000000	0.142901	0.771317	
37.000000	0.139620	0.819048	
38.000000	0.145227	0.750749	
39.000000	0.155409	0.817054	
40.000000	0.136010	0.807246	
41.000000	0.141809	0.778827	
42.000000	0.134850	0.757125	
43.000000	0.142513	0.790050	
44.000000	0.130938	0.752806	
45.000000	0.135710	0.769651	
46.000000	0.125948	0.771613	
47.000000	0.133109	0.768164	
48.000000	0.121539	0.781834	
49.000000	0.130249	0.800186	
50.000000	0.133625	0.814493	
51.000000	0.125021	0.765086	
52.000000	0.128807	0.796746	
53.000000	0.119301	0.828873	
54.000000	0.121128	0.818160	
55.000000	0.138857	0.768746	
56.000000	0.134108	0.772518	
57.000000	0.123381	0.772487	
58.000000	0.122178	0.817508	
59.000000	0.122824	0.853734	
60.000000	0.117555	0.825205	
61.000000	0.125192	0.785722	
62.000000	0.122045	0.776077	
63.000000	0.119874	0.800212	
