Epochs	Avg_Trainning_Loss	Val_Dice_coefficient	
1.000000	0.657943	0.289044	
2.000000	0.579777	0.500663	
3.000000	0.479103	0.638181	
4.000000	0.406204	0.686950	
5.000000	0.368723	0.716372	
6.000000	0.342106	0.732051	
7.000000	0.334489	0.748814	
8.000000	0.325275	0.757130	
9.000000	0.318152	0.758658	
10.000000	0.317143	0.768193	
11.000000	0.306174	0.773794	
12.000000	0.307128	0.774417	
13.000000	0.298360	0.779458	
14.000000	0.298409	0.780453	
15.000000	0.297383	0.778806	
16.000000	0.292921	0.786973	
17.000000	0.297880	0.786030	
18.000000	0.286722	0.788519	
19.000000	0.286671	0.792762	
20.000000	0.291295	0.782410	
21.000000	0.289291	0.793336	
22.000000	0.280326	0.795250	
23.000000	0.270378	0.792920	
24.000000	0.280172	0.795060	
25.000000	0.273778	0.800663	
26.000000	0.267212	0.805365	
27.000000	0.272131	0.807686	
28.000000	0.260773	0.811612	
29.000000	0.258499	0.815552	
30.000000	0.254677	0.819708	
31.000000	0.256005	0.830070	
32.000000	0.234099	0.826447	
33.000000	0.236482	0.833153	
34.000000	0.228760	0.847412	
35.000000	0.228107	0.850185	
36.000000	0.226477	0.857912	
37.000000	0.218882	0.857751	
38.000000	0.211548	0.853201	
39.000000	0.213365	0.865520	
40.000000	0.210910	0.837008	
41.000000	0.200568	0.865847	
42.000000	0.205966	0.858563	
43.000000	0.197283	0.866812	
44.000000	0.202069	0.868561	
45.000000	0.202516	0.857110	
46.000000	0.194572	0.875207	
47.000000	0.191026	0.874400	
48.000000	0.193947	0.878489	
49.000000	0.181443	0.864212	
50.000000	0.182856	0.877966	
51.000000	0.187163	0.879030	
52.000000	0.177843	0.883307	
53.000000	0.189338	0.876004	
54.000000	0.191806	0.875462	
55.000000	0.174670	0.821978	
56.000000	0.174074	0.876564	
57.000000	0.177398	0.880720	
58.000000	0.177806	0.879956	
59.000000	0.166592	0.885222	
60.000000	0.172706	0.882587	
61.000000	0.176335	0.885543	
62.000000	0.162995	0.876420	
63.000000	0.170107	0.862399	
64.000000	0.170322	0.882257	
65.000000	0.166895	0.883459	
66.000000	0.164561	0.885830	
67.000000	0.165562	0.871845	
68.000000	0.168082	0.884024	
69.000000	0.157081	0.883223	
70.000000	0.165870	0.867579	
71.000000	0.154961	0.888845	
72.000000	0.161035	0.888351	
73.000000	0.161734	0.884856	
74.000000	0.167302	0.874696	
75.000000	0.161902	0.889619	
76.000000	0.145834	0.893712	
77.000000	0.144723	0.890945	
78.000000	0.141324	0.890216	
79.000000	0.144661	0.891520	
80.000000	0.146083	0.890015	
81.000000	0.135226	0.889934	
82.000000	0.143868	0.894147	
83.000000	0.140831	0.892319	
84.000000	0.142490	0.890009	
85.000000	0.146366	0.893007	
86.000000	0.143113	0.892487	
87.000000	0.138677	0.892925	
88.000000	0.141251	0.893936	
89.000000	0.134505	0.893256	
90.000000	0.146106	0.894159	
91.000000	0.143894	0.894349	
92.000000	0.135828	0.887067	
93.000000	0.139246	0.889679	
94.000000	0.131852	0.887198	
95.000000	0.139663	0.889929	
96.000000	0.142126	0.892381	
97.000000	0.134731	0.892655	
98.000000	0.134932	0.891264	
99.000000	0.137497	0.893729	
100.000000	0.135362	0.891425	
101.000000	0.142228	0.893059	
102.000000	0.133844	0.892101	
103.000000	0.140161	0.893674	
104.000000	0.138009	0.892553	
105.000000	0.135013	0.891735	
106.000000	0.138289	0.893704	
107.000000	0.139065	0.892965	
108.000000	0.136523	0.892212	
109.000000	0.135579	0.896285	
110.000000	0.136432	0.895615	
111.000000	0.139742	0.896329	
112.000000	0.135107	0.895975	
113.000000	0.129831	0.890419	
114.000000	0.139672	0.889221	
115.000000	0.131751	0.886636	
116.000000	0.130539	0.892027	
117.000000	0.136206	0.895009	
118.000000	0.130163	0.891922	
119.000000	0.137634	0.893922	
