Epochs	Avg_Trainning_Loss	Val_Dice_coefficient	
1.000000	0.455029	0.825141	
2.000000	0.253882	0.857788	
3.000000	0.244774	0.868449	
4.000000	0.210925	0.874328	
5.000000	0.202587	0.884044	
6.000000	0.193907	0.885945	
7.000000	0.186607	0.883959	
8.000000	0.168305	0.891276	
9.000000	0.171040	0.895472	
10.000000	0.158969	0.895237	
11.000000	0.152521	0.895651	
12.000000	0.146633	0.896347	
13.000000	0.149893	0.889511	
14.000000	0.144040	0.898012	
15.000000	0.144656	0.894078	
16.000000	0.131859	0.894081	
17.000000	0.136781	0.898558	
18.000000	0.131699	0.897960	
19.000000	0.126692	0.893579	
20.000000	0.120938	0.898216	
21.000000	0.115472	0.899908	
22.000000	0.107067	0.902175	
23.000000	0.107718	0.895431	
24.000000	0.105059	0.901804	
25.000000	0.106015	0.902031	
26.000000	0.104686	0.899708	
27.000000	0.100432	0.899624	
28.000000	0.102711	0.898610	
29.000000	0.101318	0.903047	
30.000000	0.097646	0.897273	
31.000000	0.091619	0.896765	
32.000000	0.090602	0.902142	
33.000000	0.096108	0.901445	
34.000000	0.089499	0.897820	
35.000000	0.094897	0.901892	
36.000000	0.087601	0.900279	
37.000000	0.083537	0.904270	
38.000000	0.085022	0.901766	
39.000000	0.080837	0.901541	
40.000000	0.089014	0.904130	
41.000000	0.081553	0.905190	
42.000000	0.078583	0.903215	
43.000000	0.077464	0.903677	
44.000000	0.078457	0.902442	
45.000000	0.079199	0.903484	
46.000000	0.079199	0.904032	
47.000000	0.075995	0.905621	
48.000000	0.075048	0.908132	
49.000000	0.073642	0.906172	
50.000000	0.072562	0.905343	
51.000000	0.071060	0.903956	
52.000000	0.071102	0.904129	
53.000000	0.072580	0.907789	
54.000000	0.068148	0.906750	
55.000000	0.069197	0.905971	
56.000000	0.067151	0.906812	
57.000000	0.066656	0.905841	
58.000000	0.066077	0.906078	
59.000000	0.066772	0.904122	
60.000000	0.066671	0.905784	
61.000000	0.066242	0.904682	
62.000000	0.063980	0.904495	
63.000000	0.064183	0.905874	
64.000000	0.064565	0.906502	
65.000000	0.063107	0.906688	
66.000000	0.061573	0.908153	
67.000000	0.062351	0.906153	
68.000000	0.065295	0.903085	
69.000000	0.059760	0.906153	
70.000000	0.059081	0.907243	
71.000000	0.060341	0.906260	
72.000000	0.058380	0.908187	
73.000000	0.060478	0.908280	
74.000000	0.058913	0.907385	
75.000000	0.059079	0.907492	
76.000000	0.057070	0.907235	
77.000000	0.059738	0.907481	
78.000000	0.058403	0.907086	
79.000000	0.058219	0.906586	
80.000000	0.056212	0.906728	
81.000000	0.057009	0.907253	
82.000000	0.054763	0.907818	
83.000000	0.055889	0.906718	
84.000000	0.057083	0.907265	
85.000000	0.055494	0.906962	
86.000000	0.056431	0.908526	
87.000000	0.055750	0.907851	
88.000000	0.055793	0.906585	
89.000000	0.055090	0.907723	
90.000000	0.055277	0.906934	
91.000000	0.054387	0.908627	
92.000000	0.055414	0.907813	
93.000000	0.054315	0.908810	
94.000000	0.053789	0.907141	
95.000000	0.054062	0.907790	
96.000000	0.055278	0.908468	
97.000000	0.054443	0.908215	
98.000000	0.055102	0.908014	
99.000000	0.053973	0.908713	
100.000000	0.054276	0.908405	
101.000000	0.056377	0.908054	
102.000000	0.054107	0.909136	
103.000000	0.054114	0.908096	
104.000000	0.057474	0.908988	
105.000000	0.054032	0.909349	
106.000000	0.054682	0.907976	
107.000000	0.053734	0.907759	
108.000000	0.054274	0.908191	
109.000000	0.054619	0.908621	
110.000000	0.053447	0.908268	
111.000000	0.053562	0.908109	
112.000000	0.056476	0.907533	
113.000000	0.054799	0.908420	
114.000000	0.053662	0.907154	
115.000000	0.054179	0.907705	
116.000000	0.054722	0.907936	
117.000000	0.052793	0.907885	
118.000000	0.054630	0.907348	
119.000000	0.053506	0.907928	
120.000000	0.053542	0.908488	
121.000000	0.054373	0.907881	
122.000000	0.053385	0.907821	
123.000000	0.052378	0.908515	
124.000000	0.053540	0.907948	
125.000000	0.052163	0.908500	
126.000000	0.053088	0.908058	
127.000000	0.052755	0.908596	
128.000000	0.052630	0.908064	
129.000000	0.051908	0.908065	
130.000000	0.054057	0.907767	
131.000000	0.052283	0.907735	
132.000000	0.051563	0.908822	
133.000000	0.052425	0.907810	
134.000000	0.053168	0.907746	
135.000000	0.052632	0.909545	
136.000000	0.052545	0.908088	
137.000000	0.051669	0.907671	
138.000000	0.052307	0.908745	
139.000000	0.053071	0.907913	
140.000000	0.052253	0.908130	
141.000000	0.052094	0.908029	
142.000000	0.053081	0.908251	
143.000000	0.052945	0.908581	
144.000000	0.053218	0.908903	
145.000000	0.051916	0.908292	
146.000000	0.052967	0.907546	
147.000000	0.051922	0.908423	
148.000000	0.053370	0.908992	
149.000000	0.051908	0.907578	
150.000000	0.051424	0.908624	
151.000000	0.051068	0.908550	
152.000000	0.050691	0.908219	
153.000000	0.052290	0.908114	
154.000000	0.051529	0.907630	
155.000000	0.051477	0.907987	
156.000000	0.051523	0.908751	
157.000000	0.050748	0.908016	
158.000000	0.052557	0.907627	
159.000000	0.051707	0.907956	
160.000000	0.050971	0.908608	
161.000000	0.052508	0.908963	
162.000000	0.051666	0.909043	
163.000000	0.051221	0.907912	
164.000000	0.050869	0.908233	
165.000000	0.052663	0.909244	
166.000000	0.052763	0.909294	
167.000000	0.051563	0.909049	
168.000000	0.052566	0.908034	
